hash,date,bug,review,lines_added,lines_removed,num_revisions,time_uploaded,time_pushed,is_unittested,is_unittest_only,num_msg,time_plus2,num_unresolved_comments,assigned_category,manual_category,researcher1,researcher2,researcher2_category,final_category,disagreement,num_comments
4d0a5c9394add11a505c3536bf8d81fceac1faca,2018-06-12,crbug.com/844079,https://chromium-review.googlesource.com/1096896,226,0,7,2018-06-12 07:44:53,2018-06-28 05:10:04,FALSE,FALSE,50,2018-06-26 17:23:14,1,Bug,BUG,Neil,colin,RFE,RFE,TRUE,8
74b1e48769456b54a4016831992a0ccf520a166e,2018-06-25,crbug.com/825010,https://chromium-review.googlesource.com/1113908,3,0,3,2018-06-25 16:59:55,2018-06-26 09:56:03,FALSE,FALSE,25,2018-06-25 19:35:17,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,6
a128677564bea7c778474752967509b3d739d22e,2018-03-12,crbug.com/812468,https://chromium-review.googlesource.com/959560,1,1,2,2018-03-12 21:50:55,2018-03-30 02:52:31,FALSE,FALSE,13,2018-03-13 18:03:46,0,Bug,RFE,Neil,colin,RFE,RFE,FALSE,0
4717511832b7e603dd5cb1954ad40238e021b18b,2018-08-07,crbug.com/863613,https://chromium-review.googlesource.com/1166455,1,0,1,2018-08-08 01:04:22,2018-08-08 20:46:23,FALSE,FALSE,14,2018-08-08 02:15:01,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,0
df77b5d48cae75b3243d7004855f57e045ef7318,2018-06-05,crbug.com/849318,https://chromium-review.googlesource.com/1086795,1,2,2,2018-06-05 08:10:57,2018-06-21 15:15:12,FALSE,FALSE,24,2018-06-20 14:33:07,0,Bug,BUG,Neil,colin,BUG,BUG,FALSE,0
d7d16254f5d56fc6bf12fb0f0e1a6ef4606075c2,2018-05-15,crbug.com/819324,https://chromium-review.googlesource.com/1060629,21,0,2,2018-05-16 01:43:25,2018-05-23 08:26:30,FALSE,FALSE,8,2018-05-22 23:54:43,0,Bug,BUG,Neil,colin,BUG,BUG,FALSE,0
c3e98621cb14c2714a9acd4a3d97f0781d2231f9,2018-07-24,crbug.com/853560,https://chromium-review.googlesource.com/1149183,9,0,1,2018-07-24 22:54:09,2018-07-25 23:36:21,FALSE,FALSE,10,2018-07-25 16:28:06,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,0
279b6f8ee19586a1f30be44c1d3115104d9ae578,2018-06-14,crbug.com/852035,https://chromium-review.googlesource.com/1101913,3,0,1,2018-06-14 22:00:36,2018-06-29 18:56:21,FALSE,FALSE,15,2018-06-14 22:14:42,1,Bug,BUG,Neil,colin,BUG,BUG,FALSE,2
805dc787ca8b8c3250335173daf967dfd44d8d43,2018-02-15,crbug.com/757625,https://chromium-review.googlesource.com/923212,15,1,2,2018-02-16 00:48:15,2018-02-21 02:17:17,FALSE,FALSE,10,2018-02-20 19:08:49,1,Feature,RFE,Neil,colin,RFE,RFE,FALSE,1
fa9d3bda2256cb0df2217cae2e1ecc5e59b72e4d,2018-01-02,crbug.com/386606,https://chromium-review.googlesource.com/862641,1,0,1,2018-01-11 22:56:12,2018-09-27 17:28:48,FALSE,FALSE,19,2018-01-12 17:43:45,1,Feature,RFE,Neil,colin,RFE,RFE,FALSE,2
38990f62bd7bcd49a43e78317cf75207ebc3d9aa,2018-03-28,crbug.com/791202,https://chromium-review.googlesource.com/985240,1,0,1,2018-03-28 22:11:16,2018-03-30 02:52:31,FALSE,FALSE,14,2018-03-29 00:36:56,0,NULL,NULL,Neil,colin,NULL,NULL,FALSE,0
f0a20a26c3712650acc09c7ab73d6a19cef54ce2,2018-05-09,crbug.com/832508,https://chromium-review.googlesource.com/1053246,37,0,1,2018-05-09 22:35:04,2018-05-10 22:11:11,FALSE,FALSE,23,2018-05-09 22:45:01,1,Feature,RFE,Neil,colin,RFE,RFE,FALSE,1
baf52dac10fda566157da7a6024053bb1654c7c8,2018-03-15,crbug.com/806788,https://chromium-review.googlesource.com/964341,6,4,1,2018-03-15 13:54:39,2018-03-20 02:22:04,FALSE,FALSE,9,2018-03-20 00:10:19,0,Feature,BUG,Neil,colin,RFE,RFE,FALSE,0
9fb6a8e6c58902ffe1eb48725da1ba7cd62e582c,2018-06-18,crbug.com/842845,https://chromium-review.googlesource.com/1104875,2,96,2,2018-06-18 17:41:40,2018-06-20 08:43:34,FALSE,FALSE,26,2018-06-18 19:37:55,1,Bug,RFE,Neil,colin,RFE,RFE,FALSE,1
4a09dfb75e7b6ed9782a76de24134b6bed38f381,2017-10-19,crbug.com/765644,https://chromium-review.googlesource.com/730183,54,35,3,2017-10-20 08:04:05,2017-11-02 18:07:48,FALSE,FALSE,28,2017-10-30 13:37:05,0,Bug,IMPR,Neil,colin,REFAC,REFAC,FALSE,0
d6d747de4b6821d5b87e2e2a8dc0365a67b76cdb,2018-02-15,crbug.com/777979,https://chromium-review.googlesource.com/921622,3,1,3,2018-02-15 14:44:37,2018-03-13 14:37:34,FALSE,FALSE,17,2018-03-13 08:50:31,0,NULL,NULL,Neil,colin,NULL,NULL,FALSE,0
ef9fd7bd74050e9f6af76c26fed9765fc712e43e,2018-08-07,crbug.com/869377,https://chromium-review.googlesource.com/1165982,24,0,6,2018-08-07 20:32:26,2018-08-18 17:01:31,FALSE,FALSE,30,2018-08-16 17:47:21,2,NULL,NULL,Neil,colin,NULL,NULL,FALSE,9
73aef116b3e3345f4b47657b08a355ce07360907,2018-07-02,crbug.com/703939,https://chromium-review.googlesource.com/1123685,9,1,3,2018-07-02 23:59:52,2018-07-18 04:55:00,FALSE,FALSE,20,2018-07-09 18:43:11,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,0
ba97f1f6958fe4d7da3ef51825247bbeb917acd2,2017-09-14,crbug.com/764451,https://chromium-review.googlesource.com/666966,3,0,1,2017-09-14 14:51:06,2017-09-15 01:02:17,FALSE,FALSE,16,2017-09-14 15:05:50,0,Bug,RFE,Neil,colin,RFE,RFE,FALSE,0
956f570a0c9c30a4d68e8345e74b3ef8e285d0cd,2018-07-13,crbug.com/852164,https://chromium-review.googlesource.com/1136668,9,0,3,2018-07-13 16:42:06,2018-07-20 12:33:13,FALSE,FALSE,46,2018-07-13 17:03:40,0,Bug,RFE,Neil,colin,RFE,RFE,FALSE,2
9b57c139f2351a508e8d7f34c482c328e1bd49fa,2017-03-27,crbug.com/704408,https://chromium-review.googlesource.com/650509,9,2,1,2017-09-05 15:51:26,2017-09-07 16:42:45,FALSE,FALSE,9,2017-09-05 17:22:08,0,Bug,RFE,Neil,colin,RFE,RFE,FALSE,0
5d8bc5452755402efe35eb4e64c2178df476ad54,2017-10-30,crbug.com/757625,https://chromium-review.googlesource.com/744992,25,0,4,2017-10-30 22:43:42,2017-11-07 14:00:40,FALSE,FALSE,19,2017-11-07 01:36:07,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,4
aded6c46b0905097582ab2c6cd1a96c710150338,2018-04-06,crbug.com/822496,https://chromium-review.googlesource.com/999953,7,0,1,2018-04-06 17:55:31,2018-04-11 21:56:40,FALSE,FALSE,19,2018-04-10 20:09:37,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,0
d6d1bf7abef62794cd9560fa3431479f173515a8,2018-08-22,crbug.com/703939,https://chromium-review.googlesource.com/1186133,8,6,1,2018-08-23 01:08:06,2018-08-24 00:44:27,FALSE,FALSE,9,2018-08-23 17:50:16,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,0
9d6b2bd473efac88137c6786964acff83140d42c,2018-05-03,crbug.com/757625,https://chromium-review.googlesource.com/1044747,1,0,1,2018-05-04 18:20:57,2019-02-21 18:49:01,FALSE,FALSE,16,2018-05-05 22:48:20,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,0
acbe02975c1db3d3f89a78bcd74af825719bb65c,2018-03-27,crbug.com/820783,https://chromium-review.googlesource.com/982497,1,0,1,2018-03-27 20:12:09,2018-03-30 07:07:40,FALSE,FALSE,15,2018-03-29 06:41:27,0,NULL,NULL,Neil,colin,NULL,NULL,FALSE,0
62e4df41954a7b7f414f95fd4fc8992d49ea42e2,2017-09-05,crbug.com/740063,https://chromium-review.googlesource.com/650227,21,0,2,2017-09-05 10:11:00,2017-09-08 19:51:07,FALSE,FALSE,36,2017-09-06 14:04:42,2,Bug,RFE,Neil,colin,RFE,RFE,FALSE,8
86b8cb31143f4557a8577ba46d25005ae12ad573,2017-12-13,crbug.com/757625,https://chromium-review.googlesource.com/826244,19,0,7,2017-12-13 22:59:18,2017-12-20 18:14:58,FALSE,FALSE,20,2017-12-20 00:40:14,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,10
195ff937d2f64c3116ca65c94454bdd63e405d0d,2018-05-22,crbug.com/757625,https://chromium-review.googlesource.com/1069602,6,0,1,2018-05-22 21:24:18,2018-05-24 22:44:48,FALSE,FALSE,12,2018-05-23 22:57:00,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,0
404cd1cadb183973ed3ee9d2fb259328202ec80a,2018-07-25,crbug.com/848719,https://chromium-review.googlesource.com/1150233,0,1,2,2018-07-25 17:13:27,2018-08-07 08:54:23,FALSE,FALSE,24,2018-07-25 18:13:19,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,6
1e5309913a713ddbfc9897001482284beaae0f4b,2018-05-22,crbug.com/842845,https://chromium-review.googlesource.com/1069738,265,1,7,2018-05-22 23:23:15,2018-05-29 05:48:11,FALSE,FALSE,89,2018-05-25 02:25:00,3,Bug,RFE,Neil,colin,RFE,RFE,FALSE,33
15a69fdb75be81e7065c6548c5294b4d7ae24321,2018-04-27,crbug.com/836091,https://chromium-review.googlesource.com/1032133,32,19,5,2018-04-27 04:46:58,2018-05-04 10:07:24,FALSE,FALSE,47,2018-05-01 17:34:40,1,Feature,RFE,Neil,colin,RFE,RFE,FALSE,2
a4959d623c3c09ec7169960e3858e12b6a916a50,2018-01-30,crbug.com/806119,https://chromium-review.googlesource.com/895383,68,0,1,2018-01-31 18:10:44,2018-02-03 07:54:43,FALSE,FALSE,14,2018-02-01 01:22:00,0,Bug,REFAC,Neil,colin,REFAC,REFAC,FALSE,0
391dbc8e22422e55bf3a191c78fe7dd28289d874,2018-06-08,crbug.com/703939,https://chromium-review.googlesource.com/1094266,170,1,5,2018-06-09 01:35:52,2018-07-18 04:55:00,FALSE,FALSE,39,2018-07-17 20:28:44,2,Feature,RFE,Neil,colin,RFE,RFE,FALSE,11
b3a8fe805f26745b5a450c48330b78158e523755,2018-07-09,crbug.com/836246,https://chromium-review.googlesource.com/1129700,16,6,6,2018-07-09 20:44:23,2018-07-13 18:50:56,FALSE,FALSE,37,2018-07-12 17:10:55,0,NULL,NULL,Neil,colin,NULL,NULL,FALSE,6
fd581ad0b74993f0eb5a25a30658c3d82b729133,2018-07-20,crbug.com/866547,https://chromium-review.googlesource.com/1146073,5,2,5,2018-07-21 06:53:17,2018-08-06 18:39:49,FALSE,FALSE,20,2018-07-23 20:52:57,0,Bug,RFE,Neil,colin,RFE,RFE,FALSE,2
814a3496abaebc7e0070aab3cae1d642ff706894,2017-10-05,crbug.com/763198,https://chromium-review.googlesource.com/704399,0,1,1,2017-10-06 05:08:04,2017-10-06 10:58:22,FALSE,FALSE,9,2017-10-06 05:10:04,0,Bug,BUG,Neil,colin,REFAC,REFAC,FALSE,0
a99c32516d630322a3f02e713d1d4359de82096b,2018-04-26,crbug.com/806788,https://chromium-review.googlesource.com/1030378,6,13,1,2018-04-26 18:39:38,2018-04-28 04:28:00,FALSE,FALSE,8,2018-04-27 23:35:35,0,Feature,RFE,Neil,colin,RFE,RFE,FALSE,0
